CallID,UserID,Source,Destination,StartTime,EndTime,Duration,CallType,Status,Cost,Provider
1200,5,07525120860,07218754844,2025-05-19 21:42:48,,0,SMS,Completed,0.0,O2
1201,5,07525120860,07232053203,2025-06-03 08:19:25,2025-06-03 08:22:03,158,Voice,Completed,1.58,O2
1202,5,07525120860,07763323471,2025-05-16 21:30:39,2025-05-16 21:35:35,296,Voice,Completed,2.96,O2
1203,5,07525120860,07823034683,2025-06-10 23:25:57,,0,Data,Failed,0.0,O2
1204,5,07525120860,07666675894,2025-06-03 14:15:14,,0,SMS,Failed,0.0,O2
1205,5,07525120860,07321368610,2025-05-23 03:29:14,,0,Data,Failed,0.0,O2
1206,5,07525120860,07803962323,2025-05-23 03:09:16,2025-05-23 03:11:16,120,Voice,Completed,1.2,O2
1207,5,07525120860,07432252514,2025-05-29 01:51:13,,0,SMS,Missed,0.0,O2
1208,5,07525120860,07804792333,2025-06-11 06:39:41,,0,Data,Failed,0.0,O2
1209,5,07525120860,07966728412,2025-06-07 01:05:22,,0,SMS,Completed,0.0,O2
1210,5,07525120860,07206013963,2025-06-03 05:39:19,,0,SMS,Missed,0.0,O2
1211,5,07525120860,07581398142,2025-06-08 09:32:40,2025-06-08 09:40:51,491,Voice,Completed,4.91,O2
1212,5,07525120860,07984811385,2025-05-28 01:08:42,,0,Data,Completed,0.0,O2
1213,5,07525120860,07355029480,2025-06-05 16:22:14,2025-06-05 16:27:17,303,Voice,Completed,3.03,O2
1214,5,07525120860,07278743502,2025-06-06 11:07:14,,0,SMS,Completed,0.0,O2
1215,5,07525120860,07711969526,2025-05-22 09:12:43,,0,SMS,Completed,0.0,O2
1216,5,07525120860,07845588299,2025-06-07 19:09:46,2025-06-07 19:15:11,325,Voice,Completed,3.25,O2
1217,5,07525120860,07545161745,2025-06-05 14:30:51,2025-06-05 14:40:39,588,Voice,Completed,5.88,O2
1218,5,07525120860,07461089768,2025-05-15 02:07:24,,0,Data,Missed,0.0,O2
1219,5,07525120860,07947160368,2025-06-06 13:55:54,,0,Data,Completed,0.0,O2
1220,5,07525120860,07460551805,2025-05-31 04:29:42,,0,SMS,Missed,0.0,O2
1221,5,07525120860,07971335891,2025-05-24 18:56:23,,0,SMS,Failed,0.0,O2
1222,5,07525120860,07209052368,2025-06-12 15:49:14,2025-06-12 15:50:42,88,Voice,Completed,0.88,O2
1223,5,07525120860,07192094283,2025-05-20 22:43:13,,0,SMS,Missed,0.0,O2
1224,5,07525120860,07154652024,2025-06-06 11:03:10,,0,Data,Failed,0.0,O2
1225,5,07525120860,07903428013,2025-05-26 07:26:08,,0,SMS,Missed,0.0,O2
1226,5,07525120860,07960176116,2025-06-03 03:13:03,,0,Data,Failed,0.0,O2
1227,5,07525120860,07364896866,2025-06-10 05:24:37,2025-06-10 05:26:18,101,Voice,Completed,1.01,O2
1228,5,07525120860,07814980307,2025-06-07 00:08:41,,0,SMS,Completed,0.0,O2
1229,5,07525120860,07677943487,2025-05-23 04:44:40,,0,SMS,Completed,0.0,O2
1230,5,07525120860,07946196735,2025-06-03 00:44:16,,0,SMS,Completed,0.0,O2
1231,5,07525120860,07967209346,2025-05-25 08:06:16,2025-05-25 08:14:13,477,Voice,Completed,4.77,O2
1232,5,07525120860,07491444188,2025-05-25 12:18:57,,0,SMS,Missed,0.0,O2
1233,5,07525120860,07258885337,2025-06-06 09:56:13,2025-06-06 10:01:06,293,Voice,Completed,2.93,O2
1234,5,07525120860,07598044836,2025-06-07 13:03:59,2025-06-07 13:13:34,575,Voice,Completed,5.75,O2
1235,5,07525120860,07191915927,2025-06-03 12:20:47,,0,Data,Missed,0.0,O2
1236,5,07525120860,07979356996,2025-06-12 07:51:49,,0,Data,Completed,0.0,O2
1237,5,07525120860,07317077338,2025-06-01 04:55:45,2025-06-01 04:56:48,63,Voice,Completed,0.63,O2
1238,5,07525120860,07470815553,2025-05-31 06:22:43,,0,SMS,Failed,0.0,O2
1239,5,07525120860,07429004458,2025-05-18 21:48:55,2025-05-18 21:51:26,151,Voice,Completed,1.51,O2
